Altium Designer Pick and Place Locations
E:\ProjectB\FOXBMS\foxbms-1\hardware\hw-extension\Sources\Project Outputs for extension\Pick Place for extension.csv

========================================================================================================================
File Design Information:

Date:       05/03/22
Time:       19:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R2015","10k","TopLayer","RESC1608X05N","4166.240","2047.096","180","SMD Resistor 10k 0603"
"R2017","430R","TopLayer","RESC1608X05N","4166.240","2303.975","180","SMD Resistor 430R 0603"
"T2005","IRLML0100TRPBF","TopLayer","SOT95P237X110-3N","4166.240","2188.650","90","MOSFET-Transistor, n-Kanal, 1.6 A, 100 V, 0.178 ohm, 10 V, 2.5 V"
"IC2005","AQV252G2SX","TopLayer","SOP254P680X220-6N","3881.260","2672.400","360","PhotoMOS Relay"
"R2007","10R","TopLayer","RESC1608X05N","4032.490","1980.000","0","SMD Resistor 10R 0603"
"R2009","10k","TopLayer","RESC1608X05N","4032.490","2047.096","180","SMD Resistor 10k 0603"
"R2011","430R","TopLayer","RESC1608X05N","4032.490","2303.975","180","SMD Resistor 430R 0603"
"T2003","IRLML0100TRPBF","TopLayer","SOT95P237X110-3N","4032.490","2188.650","90","MOSFET-Transistor, n-Kanal, 1.6 A, 100 V, 0.178 ohm, 10 V, 2.5 V"
"IC2003","AQV252G2SX","TopLayer","SOP254P680X220-6N","3883.740","2947.400","360","PhotoMOS Relay"
"R1908","10k","TopLayer","RESC1608X05N","2058.740","3222.400","180","SMD Resistor 10k 0603"
"R1907","10k","TopLayer","RESC1608X05N","2060.000","3289.497","180","SMD Resistor 10k 0603"
"C1906","100n/50V","TopLayer","CAPC1608X08N","2275.000","3228.000","180","MLCC"
"C1907","100n/50V","TopLayer","CAPC1608X08N","2246.260","2697.400","180","MLCC"
